City,State,Population,Percent employed,Occupation (MBSA),Occupation (S),Occupation (SO),Occupation (RCM),Occupation (PT),Median household income,Homeownership rate,Median home price,Median rent,KMeans,Hierarchical
"Acres Green, Colorado",Colorado,2709,72.7,61.9,11.9,12.5,8.5,5.2,115536,77.4,540000,2663,0,3
"Aetna Estates, Colorado",Colorado,1177,72.4,12.5,27.3,31.8,17.0,11.4,63887,34.3,58200,1490,8,4
"Akron, Colorado",Colorado,1681,55.4,40.5,19.3,21.5,13.2,5.5,59470,70.4,186500,1070,5,0
"Alamosa, Colorado",Colorado,9847,61.8,34.7,20.7,26.5,6.6,11.4,46969,43.8,200200,881,8,4
"Alamosa East, Colorado",Colorado,1404,68.4,34.9,29.7,17.9,9.1,8.4,44741,68.5,219100,1100,3,4
"Allenspark, Colorado",Colorado,826,71.8,58.1,9.8,14.1,12.8,5.2,125048,77.2,750000,1318,0,1
"Alma, Colorado",Colorado,242,72.1,38.6,3.2,20.9,16.5,20.9,52727,38.9,370000,2083,7,1
"Altona, Colorado",Colorado,532,70.4,75.7,11.0,9.8,3.5,0.0,250001,84.6,1168400,3501,6,7
"Antonito, Colorado",Colorado,681,57.8,19.9,16.2,17.3,19.6,26.9,29583,70.0,81300,631,9,4
"Applewood, Colorado",Colorado,8120,71.4,65.7,11.3,15.3,1.4,6.3,128988,77.2,725300,2142,0,3
"Aristocrat Ranchettes, Colorado",Colorado,2335,62.4,23.5,12.1,8.6,27.4,28.4,87604,85.0,398300,1691,9,0
"Arriba, Colorado",Colorado,279,67.1,50.0,8.8,28.7,5.9,6.6,43000,68.4,117000,575,5,0
"Arvada, Colorado",Colorado,122835,71.4,52.9,13.2,19.7,6.8,7.5,113396,74.9,600800,1802,0,3
"Aspen, Colorado",Colorado,6862,71.4,43.9,24.2,24.2,3.2,4.5,78636,59.4,1375000,1897,7,1
"Ault, Colorado",Colorado,2270,66.6,33.0,11.9,13.3,23.5,18.3,79654,82.5,330200,623,1,2
"Aurora, Colorado",Colorado,390201,71.9,36.7,18.3,20.6,10.6,13.8,84320,63.3,444500,1759,7,0
"Avon, Colorado",Colorado,6057,88.1,35.2,30.4,23.6,6.6,4.2,85364,46.0,689000,2132,7,1
"Basalt, Colorado",Colorado,3995,78.3,46.2,23.0,23.4,6.8,0.6,106000,58.2,1148100,2188,7,1
"Battlement Mesa, Colorado",Colorado,5402,66.8,29.0,26.7,15.8,10.8,17.7,69432,70.9,231500,972,8,4
"Bayfield, Colorado",Colorado,2862,78.7,29.9,21.2,26.1,10.9,12.0,92821,80.2,418400,1265,2,0
"Bennett, Colorado",Colorado,3472,66.2,30.0,14.4,24.5,15.5,15.6,92450,88.0,426500,1328,2,0
"Berkley, Colorado",Colorado,10838,70.4,30.8,22.8,13.8,14.4,18.2,76232,64.7,453600,1709,7,4
"Berthoud, Colorado",Colorado,11684,72.6,44.2,10.1,22.7,10.7,12.2,111297,85.5,487700,1708,0,0
"Bethune, Colorado",Colorado,257,59.0,21.0,24.0,22.0,12.0,21.0,38333,68.3,137500,808,8,4
"Black Hawk, Colorado",Colorado,156,80.1,21.5,19.8,29.8,15.7,13.2,112727,62.2,486700,1813,7,0
"Blende, Colorado",Colorado,646,50.7,32.0,27.9,29.5,4.9,5.7,50385,68.2,240700,1479,4,0
"Blue River, Colorado",Colorado,1145,70.3,44.8,22.0,17.2,11.9,4.1,119375,79.5,1171900,2442,0,3
"Boone, Colorado",Colorado,247,28.9,26.9,37.3,3.0,9.0,23.9,75190,86.6,45200,988,3,2
"Boulder, Colorado",Colorado,106274,63.9,59.7,16.8,15.5,2.8,5.2,85364,47.9,982600,1924,7,1
"Bow Mar, Colorado",Colorado,1003,52.7,65.6,2.5,21.4,2.0,8.4,233667,97.0,1808800,3000,6,7
"Breckenridge, Colorado",Colorado,5001,67.8,41.4,21.1,18.4,14.2,4.9,132666,73.3,757100,1438,0,1
"Briggsdale, Colorado",Colorado,86,72.6,39.6,35.8,18.9,5.7,0.0,56696,64.9,266700,591,3,4
"Brighton, Colorado",Colorado,41196,71.9,34.4,15.4,18.6,14.2,17.4,100134,71.0,475100,1734,2,0
"Brookside, Colorado",Colorado,263,53.9,35.7,18.4,16.3,11.2,18.4,57321,83.8,287500,1300,5,0
"Broomfield, Colorado",Colorado,75110,71.0,60.8,12.2,16.3,4.4,6.4,121025,62.6,631600,2074,0,3
"Brush, Colorado",Colorado,5299,64.1,33.7,15.8,20.8,8.7,21.0,73026,63.5,265300,1048,8,4
"Buena Vista, Colorado",Colorado,2966,73.0,27.2,28.1,30.0,13.5,1.2,58409,43.1,495800,1519,7,4
"Burlington, Colorado",Colorado,3165,68.5,24.6,25.3,24.6,18.1,7.5,59842,66.7,199000,1025,8,4
"Calhan, Colorado",Colorado,510,59.4,29.1,18.7,15.7,20.9,15.7,50000,64.9,265000,935,1,4
"Cañon City, Colorado",Colorado,17098,49.7,36.2,29.4,16.9,8.2,9.3,66068,70.1,275300,931,3,4
"Carbondale, Colorado",Colorado,6553,76.8,49.2,18.0,16.1,9.3,7.4,94300,64.1,796100,2255,7,1
"Cascade-Chipita Park, Colorado",Colorado,1158,49.8,61.7,7.9,13.7,7.5,9.1,115357,91.2,550700,1594,0,2
"Castle Pines, Colorado",Colorado,12573,73.0,65.0,9.1,21.2,3.5,1.1,189918,84.1,827900,2128,6,3
"Castle Rock, Colorado",Colorado,76614,74.5,55.2,14.2,20.3,4.1,6.3,143031,78.8,621700,1946,0,3
"Cedaredge, Colorado",Colorado,2394,42.1,35.1,16.3,18.4,14.0,16.3,41944,71.7,240300,1106,5,4
"Centennial, Colorado",Colorado,107386,69.6,57.9,10.0,21.0,4.1,7.0,128167,81.3,626700,2061,0,3
"Center, Colorado",Colorado,2312,68.0,38.5,5.9,22.9,19.5,13.2,50057,65.7,115600,478,5,0
"Central, Colorado",Colorado,576,77.2,21.8,22.1,27.7,1.4,26.9,62094,49.2,379400,1604,8,4
"Cheraw, Colorado",Colorado,211,55.3,53.3,8.7,10.9,19.6,7.6,38542,70.8,97900,1022,5,2
"Cherry Creek, Colorado",Colorado,11011,71.5,62.8,11.3,16.3,1.6,8.1,147618,77.3,856800,1974,0,3
"Cheyenne Wells, Colorado",Colorado,949,65.0,38.7,13.2,15.5,19.1,13.6,61705,69.6,159800,867,5,2
"Cimarron Hills, Colorado",Colorado,18808,70.1,38.4,18.0,23.2,8.7,11.8,75853,71.8,333300,1439,2,0
"City of Creede, Colorado",Colorado,307,69.0,41.2,10.2,24.9,22.6,1.1,49375,47.9,315400,920,7,4
"Clifton, Colorado",Colorado,19746,62.6,24.5,24.7,15.7,17.3,17.8,54301,72.3,234200,1035,1,4
"Coal Creek, Colorado",Colorado,2357,63.2,70.6,5.2,8.5,9.1,6.6,125819,92.8,601500,1944,0,3
"Coal Creek, Colorado",Colorado,395,45.1,17.2,18.7,17.2,37.3,9.7,41333,82.4,205300,1313,1,4
"Cokedale, Colorado",Colorado,162,57.7,8.6,42.0,8.6,27.2,13.6,47569,32.6,107300,1154,3,4
"Collbran, Colorado",Colorado,444,47.8,24.4,32.6,22.2,14.1,6.7,49375,82.8,209100,725,3,4
"Colorado City, Colorado",Colorado,1791,44.0,47.4,28.7,11.3,0.0,12.6,48692,74.9,237700,1270,5,2
"Colorado Springs, Colorado",Colorado,483099,68.8,47.0,16.5,20.3,7.3,8.9,83198,61.3,420700,1562,7,1
"Columbine, Colorado",Colorado,25681,67.6,49.7,14.5,21.7,8.1,6.0,129480,90.1,590600,2391,0,3
"Commerce City, Colorado",Colorado,64640,74.0,36.9,13.8,20.6,13.3,15.5,106756,78.0,463200,1626,2,0
"Cortez, Colorado",Colorado,8898,57.1,35.8,19.3,24.4,14.0,6.5,51377,60.3,226700,1028,8,0
"Craig, Colorado",Colorado,9022,65.7,33.4,19.1,16.2,17.0,14.3,69256,66.4,252900,1060,8,4
"Crawford, Colorado",Colorado,420,69.2,24.5,7.1,35.4,26.4,6.6,57750,71.8,205200,1052,4,9
"Crested Butte, Colorado",Colorado,1436,76.9,50.4,24.8,16.7,1.6,6.5,71923,65.8,928100,1437,7,1
"Cripple Creek, Colorado",Colorado,822,33.4,61.7,22.2,9.9,2.9,3.3,39198,56.4,244600,1078,5,2
"Crook, Colorado",Colorado,145,56.1,36.0,17.3,25.3,14.7,6.7,31964,65.8,120800,864,4,4
"Dacono, Colorado",Colorado,6419,75.5,38.3,13.6,20.4,12.7,15.0,99389,81.8,448200,1823,2,0
"Dakota Ridge, Colorado",Colorado,34159,71.5,52.6,13.3,20.0,7.7,6.4,120368,82.8,570400,2103,0,3
"De Beque, Colorado",Colorado,466,65.2,32.9,23.9,13.6,20.2,9.4,63646,78.7,215000,1319,1,4
"Deer Trail, Colorado",Colorado,1180,68.4,19.7,20.5,16.3,29.1,14.4,76250,85.6,374100,938,1,4
"Del Norte, Colorado",Colorado,1576,58.4,32.0,17.4,26.2,17.8,6.5,39861,73.4,175600,812,4,4
"Delta, Colorado",Colorado,9266,48.7,25.4,22.0,18.5,18.1,16.0,46010,64.4,238100,982,8,4
"Denver, Colorado",Colorado,713734,74.3,55.1,13.3,17.8,6.2,7.6,91681,49.1,586700,1770,7,8
"Derby, Colorado",Colorado,8692,66.1,19.2,22.0,17.6,19.0,22.1,78696,66.8,317400,1721,8,4
"Dillon, Colorado",Colorado,933,65.1,57.5,3.6,9.7,15.0,14.2,95750,64.1,939400,1682,0,1
"Dinosaur, Colorado",Colorado,614,58.5,13.5,0.0,11.2,75.3,0.0,51086,92.6,23200,879,1,6
"Dolores, Colorado",Colorado,947,69.1,36.3,40.4,18.4,2.3,2.7,33438,44.2,263300,749,3,4
"Dove Valley, Colorado",Colorado,5313,79.6,47.3,20.4,19.6,4.5,8.3,85772,33.7,425900,1892,7,1
"Durango, Colorado",Colorado,19257,66.4,48.0,16.7,20.0,6.4,8.9,79545,55.4,609700,1562,7,1
"Eads, Colorado",Colorado,647,68.1,53.8,16.8,15.9,10.7,2.9,58542,79.8,129500,880,5,2
"Eagle, Colorado",Colorado,7479,75.0,43.6,14.5,25.0,8.5,8.4,103850,68.9,693600,1706,7,1
"Eaton, Colorado",Colorado,5832,70.7,36.9,14.8,23.0,17.4,7.8,106146,93.7,448800,1710,2,0
"Eckley, Colorado",Colorado,353,72.8,21.3,15.8,14.2,42.6,6.0,53125,76.2,111300,742,1,6
"Edgewater, Colorado",Colorado,4955,84.8,39.7,16.9,24.3,9.6,9.6,74320,39.2,603400,1468,7,1
"Edwards, Colorado",Colorado,10415,71.6,44.0,18.7,21.1,11.9,4.3,90735,65.8,747700,1885,7,1
"Elbert, Colorado",Colorado,150,64.7,58.9,0.0,21.9,9.6,9.6,56500,84.2,263200,1188,5,2
"Elizabeth, Colorado",Colorado,1694,68.9,53.2,13.8,13.9,12.5,6.6,110227,88.4,444000,1526,0,0
"El Jebel, Colorado",Colorado,3935,79.0,39.4,30.3,9.2,16.4,4.7,100518,74.8,854300,3145,0,1
"Empire, Colorado",Colorado,549,72.4,20.1,14.0,29.5,23.7,12.8,63092,59.0,297600,1566,8,4
"Englewood, Colorado",Colorado,33774,74.9,49.6,15.2,19.4,7.0,8.7,82016,47.7,534000,1563,7,1
"Erie, Colorado",Colorado,31927,76.3,62.1,9.9,16.8,4.4,6.7,163644,87.9,685900,2775,6,3
"Estes Park, Colorado",Colorado,5879,48.5,40.0,20.1,27.5,5.3,7.0,73313,69.2,634200,1431,2,0
"Evans, Colorado",Colorado,22265,72.7,29.0,19.6,22.2,12.4,16.8,72926,69.7,326300,1497,2,0
"Evergreen, Colorado",Colorado,8643,67.0,61.5,10.5,20.0,2.6,5.4,148665,87.8,745500,1955,0,3
"Fairmount, Colorado",Colorado,10521,66.4,63.4,9.1,17.7,4.4,5.5,163785,91.3,772600,2505,6,3
"Fairplay, Colorado",Colorado,851,80.6,30.9,28.0,20.8,11.9,8.4,82031,53.2,411000,1634,7,1
"Federal Heights, Colorado",Colorado,14160,68.7,17.2,25.3,17.7,22.0,17.8,57957,58.7,91300,1655,8,4
"Firestone, Colorado",Colorado,17353,74.7,45.4,13.4,17.5,11.4,12.3,114591,80.3,511800,1916,0,0
"Flagler, Colorado",Colorado,597,46.9,44.8,5.7,21.4,10.9,17.2,37941,51.6,123600,840,5,2
"Fleming, Colorado",Colorado,598,64.5,24.2,16.4,26.4,8.2,24.9,51875,70.3,120800,937,9,9
"Florence, Colorado",Colorado,3870,63.5,22.8,32.0,19.6,14.0,11.6,57239,68.4,228300,694,3,4
"Floyd Hill, Colorado",Colorado,850,76.4,50.7,30.6,13.3,1.4,4.0,186420,91.3,671000,1157,0,1
"Fort Collins, Colorado",Colorado,169705,70.7,51.9,16.5,18.1,5.9,7.6,83598,52.1,548400,1661,7,1
"Fort Garland, Colorado",Colorado,426,52.6,24.7,0.0,52.1,23.3,0.0,29750,70.9,239600,871,4,9
"Fort Lupton, Colorado",Colorado,8494,69.1,23.0,21.6,17.3,16.6,21.4,64850,63.9,372400,1296,8,4
"Fort Morgan, Colorado",Colorado,11521,64.6,34.0,9.1,14.5,18.3,24.1,59121,52.3,259900,1074,8,2
"Fountain, Colorado",Colorado,29327,69.2,38.4,15.1,21.8,12.7,12.0,85246,72.3,374600,1778,2,0
"Four Square Mile, Colorado",Colorado,21788,76.2,45.5,16.8,19.6,6.0,12.0,73318,24.7,448200,1796,7,1
"Fowler, Colorado",Colorado,1101,51.0,31.1,6.7,28.7,15.0,18.5,42083,67.2,141300,823,4,0
"Fraser, Colorado",Colorado,1189,91.7,42.7,27.6,13.7,5.3,10.6,81786,55.1,593800,1658,7,1
"Frederick, Colorado",Colorado,15893,77.0,44.7,11.0,19.8,9.1,15.4,135316,95.8,529800,2252,0,3
"Frisco, Colorado",Colorado,2865,69.9,45.9,23.2,8.3,11.0,11.6,113406,58.6,839500,2582,7,1
"Fruita, Colorado",Colorado,13578,59.8,38.3,20.0,16.0,10.1,15.5,77680,80.5,361500,1275,2,0
"Fruitvale, Colorado",Colorado,7998,62.5,32.6,17.4,24.3,13.2,12.4,76339,92.3,299900,1800,2,0
"Genesee, Colorado",Colorado,3826,57.1,67.5,4.3,21.0,3.0,4.2,172692,91.4,994700,2797,6,7
"Genoa, Colorado",Colorado,179,57.5,16.7,29.8,28.6,21.4,3.6,51750,76.8,164100,888,4,4
"Georgetown, Colorado",Colorado,1082,68.0,55.6,15.5,26.0,2.8,0.0,75804,65.9,440000,1361,7,0
"Gilcrest, Colorado",Colorado,987,68.4,17.3,25.5,12.2,16.7,28.2,66771,86.5,287000,1900,9,0
"Glendale, Colorado",Colorado,4546,88.8,45.4,15.1,27.3,3.3,8.9,68952,7.2,398800,1723,7,1
"Gleneagle, Colorado",Colorado,6207,67.7,59.6,16.3,19.5,2.5,2.1,137105,83.1,570700,2051,0,3
"Glenwood Springs, Colorado",Colorado,10171,78.0,31.4,27.1,21.9,12.7,7.0,87000,52.5,592000,1717,7,1
"Golden, Colorado",Colorado,20467,62.7,60.3,13.0,15.3,5.6,5.7,95913,58.8,790500,1854,7,1
"Granada, Colorado",Colorado,492,68.2,28.3,34.6,10.3,12.1,14.7,46685,67.8,100000,713,3,4
"Granby, Colorado",Colorado,2195,76.1,40.7,20.9,17.7,13.7,7.1,82321,74.5,415700,1292,2,0
"Grand Junction, Colorado",Colorado,67027,61.4,41.2,18.6,20.6,9.4,10.2,66676,62.8,358300,1101,5,0
"Grand Lake, Colorado",Colorado,316,69.5,25.0,21.4,24.5,29.2,0.0,100625,75.8,358300,810,1,4
"Greeley, Colorado",Colorado,109421,65.5,33.1,16.9,19.3,13.2,17.6,68650,60.6,369600,1333,8,0
"Green Mountain Falls, Colorado",Colorado,717,71.3,53.9,25.7,8.6,8.2,3.7,96346,80.4,369000,1618,0,3
